Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes,Analysis
GO_Biological_Process_2023,Regulation Of Blood Circulation (GO:1903522),1/34,0.1094289509220514,0.190630645952549,0,0,9.0,19.912318113121092,DES,GO Biological Process
GO_Biological_Process_2023,Regulation Of Metal Ion Transport (GO:0010959),1/34,0.1094289509220514,0.190630645952549,0,0,9.0,19.912318113121092,SLN,GO Biological Process
GO_Biological_Process_2023,Regulation Of DNA Biosynthetic Process (GO:2000278),1/34,0.1094289509220514,0.190630645952549,0,0,9.0,19.912318113121092,ANKRD1,GO Biological Process
GO_Biological_Process_2023,Response To Estrogen (GO:0043627),1/34,0.1094289509220514,0.190630645952549,0,0,9.0,19.912318113121092,SLC34A2,GO Biological Process
GO_Biological_Process_2023,Negative Regulation Of Cellular Process (GO:0048523),4/537,0.109920209945654,0.190812195433829,0,0,2.2747420262664164,5.022631623548875,MYOG;MYL2;SCGB3A1;PRAME,GO Biological Process
GO_Biological_Process_2023,Liver Development (GO:0001889),1/35,0.1124620438492114,0.1925131514502127,0,0,8.734855136084285,19.08687700448831,UGT1A7,GO Biological Process
GO_Biological_Process_2023,Regulation Of G2/M Transition Of Mitotic Cell Cycle (GO:0010389),1/35,0.1124620438492114,0.1925131514502127,0,0,8.734855136084285,19.08687700448831,CCND1,GO Biological Process
GO_Biological_Process_2023,Regulation Of Axon Extension (GO:0030516),1/35,0.1124620438492114,0.1925131514502127,0,0,8.734855136084285,19.08687700448831,CTTN,GO Biological Process
GO_Biological_Process_2023,Regulation Of Sodium Ion Transport (GO:0002028),1/35,0.1124620438492114,0.1925131514502127,0,0,8.734855136084285,19.08687700448831,BPIFA1,GO Biological Process
Reactome_2022,Negative Regulation Of FGFR4 Signaling R-HSA-5654733,1/31,0.1002682623878204,0.1928235815150392,0,0,9.901492537313432,22.772502698810975,FGF4,Reactome Pathways
Reactome_2022,RIPK1-mediated Regulated Necrosis R-HSA-5213460,1/31,0.1002682623878204,0.1928235815150392,0,0,9.901492537313432,22.772502698810975,FADD,Reactome Pathways
Cancer_Cell_Line_Encyclopedia,SNU840 OVARY,2/56,0.0155860552571749,0.1934951738024886,0,0,11.154882154882156,46.41968853471818,UPK1B;SPINK6,Cancer Cell Line Encyclopedia
Cancer_Cell_Line_Encyclopedia,KYSE70 OESOPHAGUS,3/156,0.0161186479423977,0.1953426619685818,0,0,5.9665158371040725,24.628455314762117,HORMAD1;NTS;ADH7,Cancer Cell Line Encyclopedia
GO_Biological_Process_2023,Metal Ion Transport (GO:0030001),2/171,0.1149890358041339,0.1961577669599931,0,0,3.54366146673839,7.664650929962913,SLN;CACNA1S,GO Biological Process
GO_Biological_Process_2023,Regulation Of T Cell Mediated Cytotoxicity (GO:0001914),1/36,0.1154849581798632,0.1963244289057674,0,0,8.484861407249467,18.315549019302413,FADD,GO Biological Process
CellMarker_2024,Endothelial Cell Blood Vessel Mouse,1/38,0.1215003854533458,0.1965006233875099,0,0,8.025413473174668,16.916270230507074,SPRR2B,CellMarker
Cancer_Cell_Line_Encyclopedia,SNU324 PANCREAS,2/58,0.0166571457140209,0.1971741201962014,0,0,10.755411255411255,44.04250544933113,SLC34A2;MUC5B,Cancer Cell Line Encyclopedia
GO_Biological_Process_2023,Protein Localization (GO:0008104),3/351,0.1172256148712125,0.1985987221014013,0,0,2.5973474801061007,5.567816571688882,ANO1;CSRP3;CTTN,GO Biological Process
CellMarker_2024,Goblet Cell Large Intestine Human,1/39,0.1244929653895161,0.1988851032442269,0,0,7.813825608798115,16.280153066858286,MUC5B,CellMarker
GO_Biological_Process_2023,Calcium Ion Import Across Plasma Membrane (GO:0098703),1/37,0.1184977275216925,0.2000663687266932,0,0,8.248756218905474,17.593454526083946,CACNA1S,GO Biological Process
PanglaoDB_Augmented_2021,Juxtaglomerular Cells,2/103,0.04802997914352,0.2005957952464662,0,0,5.94989498949895,18.06346408586769,ANO1;DES,PanglaoDB
Cancer_Cell_Line_Encyclopedia,CL14 LARGE INTESTINE,3/161,0.0175187526479849,0.2008720207276139,0,0,5.776241480038949,23.36191273361971,TNNC1;MYL2;LTF,Cancer Cell Line Encyclopedia
Cancer_Cell_Line_Encyclopedia,NCIH1650 LUNG,2/60,0.0177588230505749,0.2008720207276139,0,0,10.383490073145246,41.85452784289615,SPINK6;TNNC1,Cancer Cell Line Encyclopedia
GO_Biological_Process_2023,Positive Regulation Of I-kappaB kinase/NF-kappaB Signaling (GO:0043123),2/175,0.119436461731878,0.2009630567707026,0,0,3.4610264494657557,7.3545799700984755,FADD;LTF,GO Biological Process
