Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes,Analysis
PanglaoDB_Augmented_2021,Myoblasts,6/126,4.41062574758605e-06,5.219240467976826e-05,0,0,15.977419354838707,197.02545068111573,MYOG;ACTC1;DES;MYL1;MYF6;ASB5,PanglaoDB
GO_Cellular_Component_2023,Actin Filament (GO:0005884),5/71,4.281406345798273e-06,7.021506407109167e-05,0,0,23.88888888888889,295.29602651426154,ACTA1;ACTC1;CTTN;ACTN2;LMOD2,GO Cellular Component
GO_Cellular_Component_2023,Supramolecular Fiber (GO:0099512),4/36,6.631012731346725e-06,9.062384066173856e-05,0,0,38.8671875,463.4427441612301,MYH1;MYH2;MYH8;MYH7,GO Cellular Component
CellMarker_2024,Secretory Cell Trachea Mouse,5/63,2.3603415917517268e-06,0.00010306824950649208,0,0,27.194854953475645,352.35569158807573,PIGR;ANO1;BPIFA1;BPIFB1;MUC5B,CellMarker
GO_Biological_Process_2023,Regulation Of Muscle Contraction (GO:0006937),4/29,2.721978566510944e-06,0.00010322580256076118,0,0,49.7675,637.7282861665242,TNNC1;MYL2;MYBPH;CACNA1S,GO Biological Process
GO_Biological_Process_2023,Muscle Cell Fate Commitment (GO:0042693),3/9,3.1116468497818627e-06,0.0001095744212101756,0,0,153.27692307692308,1943.606324925113,MYOG;MYL2;MYF6,GO Biological Process
GO_Biological_Process_2023,Muscle Filament Sliding (GO:0030049),3/10,4.434399496193174e-06,0.00014574393010821564,0,0,131.37362637362637,1619.3268670724071,MYL1;MYH8;MYH7,GO Biological Process
GO_Biological_Process_2023,Skeletal Muscle Organ Development (GO:0060538),4/35,5.909325614872254e-06,0.00018208109550825133,0,0,40.122983870967744,483.0397539091498,MYOG;CSRP3;DES;MYF6,GO Biological Process
Cancer_Cell_Line_Encyclopedia,SNU1214 UPPER AERODIGESTIVE TRACT,8/240,1.52094439828934e-06,0.00019354017468231852,0,0,11.32183908045977,151.66938407882094,FLG2;LCE3D;SPRR2G;SPINK7;SPINK6;KRT2;ADH7;RPTN,Cancer Cell Line Encyclopedia
CellMarker_2024,Secretory Cell Lung Human,5/80,7.720839576090566e-06,0.000252857496116966,0,0,21.012698412698413,247.35281685119588,PIGR;SLC34A2;BPIFA1;SCGB3A1;MUC5B,CellMarker
